"x","y","point_count","mean_height_m","sd_height_m","p25_height_m","p50_height_m","p75_height_m","p90_height_m","p95_height_m","p98_height_m","maximum_height_m","returns_above_2m_percent","returns_above_mean_percent","canopy_relief_ratio"
684770,5018010,215,12.328,7.06374885244849,4.745,14.66,18.225,19.704,21.029,21.7672,22,88.3720930232558,60,0.560363636363636
684790,5018010,270,20.4217037037037,5.30855577090876,19.25,22.085,23.245,24.789,25.702,26.481,27.2,97.7777777777778,66.2962962962963,0.750797930283225
684810,5018010,279,17.181541218638,6.04357731420649,15.15,18.6,21.3,23.312,24.518,24.9376,25.85,94.9820788530466,59.4982078853047,0.664663103235512
684830,5018010,282,15.1587943262411,4.97459896274162,13.6275,16.615,18.16,19.604,20.509,21.9142,22.46,94.6808510638298,61.7021276595745,0.674924057268083
684850,5018010,293,14.667542662116,4.91471582210442,11.87,15.09,18.87,20.248,20.764,21.0764,21.66,96.2457337883959,52.2184300341297,0.677171868057066
684870,5018010,294,14.5969727891156,5.48452561122148,12.5375,15.09,19.165,20.481,20.797,21.1698,22.2,91.4965986394558,52.3809523809524,0.657521296807011
684890,5018010,278,14.1935611510791,5.74672280630383,10.745,15.135,19.3975,20.75,20.9615,21.4146,21.91,93.8848920863309,52.8776978417266,0.647812010546743
684910,5018010,342,9.29733918128655,5.7326707063236,5.1125,10.14,13.88,16.658,17.3885,17.7718,19.12,82.7485380116959,56.7251461988304,0.486262509481514
684930,5018010,331,14.2987009063444,6.17765026953583,10.275,15.41,18.77,21.28,22.99,23.832,24.98,92.1450151057402,55.5891238670695,0.572405961022595
684950,5018010,230,15.2943043478261,6.13155359708735,12.4875,16.865,19.865,21.633,22.802,23.172,24.08,94.3478260869565,58.2608695652174,0.635145529394771
684970,5018010,172,14.809476744186,4.83140642346468,11.81,16.225,18.2025,19.699,20.858,21.4586,22.71,95.3488372093023,57.5581395348837,0.652112582306739
684990,5018010,102,15.6524509803922,4.00897296451929,15.1425,16.3,17.925,19.12,19.4375,19.947,20.67,96.078431372549,64.7058823529412,0.757254522515344
684770,5017990,570,12.3015964912281,6.59940246631964,8.09,13.585,17.46,20.464,21.041,21.5744,23.28,88.0701754385965,57.3684210526316,0.52841909326581
684790,5017990,845,16.9079881656805,7.68930136139819,12.1,19.33,23.01,25.206,25.718,26.4244,27.35,91.1242603550296,60.8284023668639,0.61820797680733
684810,5017990,759,21.4441370223979,5.62170173131502,19.865,23.02,25.07,26.27,26.793,27.3668,28.18,97.6284584980237,63.768115942029,0.7609700859616
684830,5017990,798,18.2702882205514,6.59270689724717,14.9175,20.005,23.19,25.166,26.0615,26.653,27.74,96.1152882205514,62.1553884711779,0.658626107445976
684850,5017990,768,13.490390625,6.0652453926042,9.6825,13.885,18.55,20.803,21.6995,22.3064,23.31,93.359375,51.3020833333333,0.578738336550837
684870,5017990,808,14.5589851485149,5.55586838991657,10.9975,15.285,19.055,20.619,22.026,23.8732,25.87,95.9158415841584,53.2178217821782,0.56277484145786
684890,5017990,793,14.8113366960908,6.12972157563669,11.83,16.62,19.65,20.83,21.188,21.6848,22.66,92.1815889029004,59.3947036569987,0.653633569995181
684910,5017990,751,14.7322503328895,5.4119671958771,11.935,15.8,18.96,20.24,21.31,22.42,23.37,94.8069241011984,58.3222370173103,0.630391541843795
684930,5017990,562,15.9990747330961,5.51244693004979,14.325,17.41,19.53,21.139,22.0075,22.8756,24.18,93.0604982206406,62.4555160142349,0.661665621716133
684950,5017990,528,13.3528977272727,6.12497399080212,9.5175,14.84,17.7,20.059,21.3125,22.6706,26.95,90.530303030303,58.5227272727273,0.495469303423849
684970,5017990,478,14.8781171548117,4.94263484537929,13.195,15.77,17.8425,20.431,21.5045,22.2898,23.88,94.7698744769875,60.4602510460251,0.623036731776035
684990,5017990,329,12.9640425531915,5.33828496352923,11.42,14.87,16.53,17.54,18.552,19.3288,20.03,89.3617021276596,66.565349544073,0.647231280738467
684770,5017970,491,5.249633401222,7.20175164832186,0.235,1.46,8.255,19.02,20.715,21.37,23.68,41.3441955193483,29.5315682281059,0.221690599713767
684790,5017970,803,14.834495641345,6.52636080637448,10.8,16.94,20.105,21.656,22.188,22.87,24.08,91.7808219178082,60.1494396014944,0.616050483444558
684810,5017970,755,19.1221324503311,5.56802514966611,17.505,20.59,22.77,23.91,24.843,26.1284,26.88,97.4834437086093,63.046357615894,0.711388856039104
684830,5017970,798,15.8305764411028,6.8082775782116,10.4125,17.035,21.385,23.872,24.5715,25.6118,27.09,94.4862155388471,55.7644110275689,0.584369746810733
684850,5017970,841,14.1012247324614,6.49079216298031,9.85,14.79,19.25,21.64,22.67,24.046,25.76,93.3412604042806,54.6967895362664,0.547407792409214
684870,5017970,700,17.5517142857143,5.19639061798969,16.415,18.79,20.855,22.361,22.881,23.3604,24.34,95.5714285714286,65.1428571428572,0.721105763587276
684890,5017970,661,15.0284720121029,5.64023505269012,13.09,16.69,18.83,20.19,20.94,21.758,22.79,91.3767019667171,63.5400907715582,0.659432734186173
684910,5017970,614,15.7625244299674,6.30606261893175,12.015,17.46,20.75,22.317,22.78,23.0622,24.25,93.3224755700326,61.2377850162867,0.650001007421337
684930,5017970,573,15.7983071553229,5.30907437607211,12.95,17.44,19.87,20.74,21.298,22.0448,22.72,94.9389179755672,59.6858638743455,0.695348026202591
684950,5017970,528,14.5010037878788,5.53268863957916,12.4575,16.275,18.4025,19.766,20.2065,20.8346,22.01,91.2878787878788,60.0378787878788,0.658837064419754
684970,5017970,479,14.7403340292276,4.721192527742,13.115,15.72,17.47,19.81,20.965,21.7732,22.38,94.5720250521921,56.3674321503132,0.658638696569596
684990,5017970,325,14.4432615384615,4.72928391689183,12.9,15.31,17.83,19.196,19.972,20.8604,21.38,94.7692307692308,57.5384615384615,0.675550118730661
684770,5017950,557,14.1152244165171,5.49323899305304,11.57,15.61,17.8,19.882,20.898,21.3976,22.53,92.45960502693,63.7342908438061,0.626507963449492
684790,5017950,827,13.2810036275695,5.33150275539059,9.67,14.23,17.385,19.628,20.571,21.4296,24.45,96.0096735187424,55.6227327690447,0.543190332415932
684810,5017950,802,15.4683541147132,6.61197242206526,11.51,17.15,21.02,22.628,23.53,24.1796,25.42,97.1321695760599,58.1047381546135,0.608511176817986
684830,5017950,825,14.9233818181818,5.77368154839196,10.91,15.28,19.86,22.092,23.03,23.6404,26.18,97.3333333333333,51.030303030303,0.570029863184943
684850,5017950,821,14.9609866017052,7.08246533665659,10.01,17.05,20.28,22.82,23.53,24.18,25.36,90.9866017052375,62.2411693057247,0.589944266628755
684870,5017950,735,15.4699319727891,5.79687255912666,13.26,16.58,19.64,21.326,21.979,22.6132,23.8,92.9251700680272,59.5918367346939,0.649997141713828
684890,5017950,631,16.6895562599049,5.56151738968764,14.82,18.71,20.05,21.42,22.24,23.18,24.67,95.2456418383518,68.9381933438986,0.676512211589174
684910,5017950,589,17.0368760611205,5.99177205852156,15.33,18.66,21.14,22.74,23.156,23.6144,24.24,93.8879456706282,66.553480475382,0.702841421663389
684930,5017950,585,16.8444444444444,6.33868067336124,14.88,19.19,21.24,22.386,22.898,23.3232,25.26,92.8205128205128,64.957264957265,0.666842614586083
684950,5017950,514,18.0514785992218,5.57916869663797,17.19,19.87,21.45,22.39,22.891,23.2348,24.42,94.1634241245136,67.8988326848249,0.73920878784692
684970,5017950,518,13.5007528957529,6.38467689434668,11.4075,15.185,17.62,20.631,21.6045,22.1332,22.8,86.6795366795367,61.3899613899614,0.592138284901443
684990,5017950,306,12.9858169934641,5.39572260638807,11.2025,14.095,16.8575,17.855,19.0775,20.464,22.51,88.8888888888889,58.8235294117647,0.576891025920215
684770,5017930,509,12.9810412573674,5.38888692218583,9.48,14.24,17.21,18.902,19.922,20.8036,21.87,93.3202357563851,56.385068762279,0.593554698553607
684790,5017930,751,11.9388814913449,5.35632038629166,7.89,12.27,16.58,18.62,19.535,20.4,21.02,94.9400798934754,50.9986684420772,0.56797723555399
684810,5017930,808,13.2043811881188,6.46863032666812,7.6575,14.08,18.6525,21.023,22.012,22.9888,23.9,93.1930693069307,54.950495049505,0.552484568540536
684830,5017930,740,17.5027972972973,6.57747483840035,13.625,19.565,22.53,24.211,25.11,25.6422,26.4,97.4324324324324,62.7027027027027,0.662984746109746
684850,5017930,725,16.8853931034483,6.56110437545715,13.09,18.91,21.78,23.64,24.188,24.57,25.46,95.448275862069,64.2758620689655,0.663212612075737
684870,5017930,669,19.897399103139,5.93409975748602,18.15,21.8,23.95,25.322,25.838,26.4164,27.26,96.711509715994,62.9297458893871,0.729911926013904
684890,5017930,704,18.3425994318182,7.13972501702209,15.5625,20.735,23.4475,24.827,25.7485,26.8034,29.97,94.1761363636364,65.9090909090909,0.61203201307368
684910,5017930,634,18.4733123028391,6.43102276331298,16.0625,20.47,22.98,25.054,25.8435,26.3234,27.65,96.6876971608833,60.5678233438486,0.668112560681342
684930,5017930,615,15.1242113821138,6.9051433401544,10.3,17.3,20.46,22.16,23.028,24.0904,26.26,91.869918699187,61.3008130081301,0.575941027498622
684950,5017930,563,16.0216163410302,5.62580506364287,13.885,17.83,19.945,21.27,21.889,22.3252,23.78,93.7833037300178,63.2326820603908,0.67374332805005
