"tree_id","file_name","file_path","file_size_mb","match_id","reference_id","species","reference_height_m","reference_dbh_cm","point_count","minimum_z_m","maximum_z_m","calculated_height_m","processing_status","error_message","height_error_m","absolute_height_error_m"
"WL01","WL01_PicAbi_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL01_PicAbi_2020-12-04.laz",3.51,"WL1","WL1","Picea abies",34.406,57.9660029,1096679,-0.541,33.865,34.406,"success",NA,0,0
"WL03","WL03_PicAbi_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL03_PicAbi_2020-12-04.laz",11.04,"WL3","WL3","Picea abies",36.84238,64.1209429,2514463,-0.50766,35.96883,36.47649,"success",NA,-0.365889999999993,0.365889999999993
"WL04","WL04_PicAbi_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL04_PicAbi_2020-12-04.laz",6.66,"WL4","WL4","Picea abies",17.807,25.4611696,2123603,0.023,17.83,17.807,"success",NA,3.5527136788005e-15,3.5527136788005e-15
"WL05","WL05_PicAbi_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL05_PicAbi_2020-12-04.laz",12.56,"WL5","WL5","Picea abies",35.79492,60.7912025,2814788,-0.02026,35.77466,35.79492,"success",NA,7.105427357601e-15,7.105427357601e-15
"WL06","WL06_PicAbi_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL06_PicAbi_2020-12-04.laz",10.24,"WL6","WL6","Picea abies",36.01304,67.826388,2310863,0.35146,36.3645,36.01304,"success",NA,0,0
"WL07","WL07_PicAbi_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL07_PicAbi_2020-12-04.laz",9.26,"WL7","WL7","Picea abies",36.92106,65.0340266,2089490,0.04842,36.96948,36.92106,"success",NA,7.105427357601e-15,7.105427357601e-15
"WL08","WL08_PicAbi_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL08_PicAbi_2020-12-04.laz",7.13,"WL8","WL8","Picea abies",22.28077,31.1725665,1611265,-0.16431,22.11646,22.28077,"success",NA,3.5527136788005e-15,3.5527136788005e-15
"WL09","WL09_AcePse_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL09_AcePse_2020-12-04.laz",3.72,"WL9","WL9","Acer pseudoplatanus",28.014,58.2299524,1088625,0.785,28.799,28.014,"success",NA,3.5527136788005e-15,3.5527136788005e-15
"WL10","WL10_CarBet_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL10_CarBet_2020-12-04.laz",2.67,"WL10","WL10","Carpinus betulus",27.552,33.0686281,759798,0.939,28.491,27.552,"success",NA,3.5527136788005e-15,3.5527136788005e-15
"WL11","WL11_AcePse_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL11_AcePse_2020-12-04.laz",3.24,"WL11","WL11","Acer pseudoplatanus",27.66466,42.1268342,692060,0.86879,28.53345,27.66466,"success",NA,0,0
"WL15","WL15_FagSyl_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL15_FagSyl_2020-12-04.laz",1.11,"WL15","WL15","Fagus sylvatica",28.39504,52.1980783,220393,-1.82289,26.57215,28.39504,"success",NA,0,0
"WL16","WL16_FagSyl_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL16_FagSyl_2020-12-04.laz",0.33,"WL16","WL16","Fagus sylvatica",29.04555,45.8658455,66822,-1.68966,27.35589,29.04555,"success",NA,3.5527136788005e-15,3.5527136788005e-15
"WL17","WL17_FagSyl_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL17_FagSyl_2020-12-04.laz",1.35,"WL17","WL17","Fagus sylvatica",31.36876,44.4643153,271767,-0.59509,30.77367,31.36876,"success",NA,0,0
"WL19","WL19_FagSyl_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL19_FagSyl_2020-12-04.laz",6.62,"WL19","WL19","Fagus sylvatica",29.6015,50.4970793,1352136,-0.46649,29.13501,29.6015,"success",NA,0,0
"WL20","WL20_FraExc_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL20_FraExc_2020-12-04.laz",0.91,"WL20","WL20","Fraxinus excelsior",26.93338,54.812663,190180,1.07156,28.00494,26.93338,"success",NA,0,0
"WL21","WL21_AcePse_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL21_AcePse_2020-12-04.laz",1.37,"WL21","WL21","Acer pseudoplatanus",27.83774,44.8043401,285844,-0.51628,27.32146,27.83774,"success",NA,3.5527136788005e-15,3.5527136788005e-15
"WL24","WL24_AcePse_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL24_AcePse_2020-12-04.laz",2.51,"WL24","WL24","Acer pseudoplatanus",31.98328,57.9195793,521624,-1.63422,30.34906,31.98328,"success",NA,0,0
"WL25","WL25_PicAbi_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL25_PicAbi_2020-12-04.laz",8.41,"WL25","WL25","Picea abies",35.89375,61.8539741,1796004,-1.16407,34.72968,35.89375,"success",NA,7.105427357601e-15,7.105427357601e-15
"WL26","WL26_PicAbi_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL26_PicAbi_2020-12-04.laz",7.48,"WL26","WL26","Picea abies",31.6779,58.5943985,1601828,-1.47276,30.20514,31.6779,"success",NA,3.5527136788005e-15,3.5527136788005e-15
"WL27","WL27_PicAbi_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL27_PicAbi_2020-12-04.laz",6.25,"WL27","WL27","Picea abies",28.27302,37.2985834,1336409,-1.93164,26.34138,28.27302,"success",NA,3.5527136788005e-15,3.5527136788005e-15
"WL32","WL32_BetPen_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL32_BetPen_2020-12-04.laz",0.58,"WL32","WL32","Betula pendula",30.08374,42.6552559,116413,-3.08029,27.00345,30.08374,"success",NA,3.5527136788005e-15,3.5527136788005e-15
"WL33","WL33_CarBet_2020-12-04.laz","data/raw/tls/site1_WL_group1/WL33_CarBet_2020-12-04.laz",0.12,"WL33","WL33","Carpinus betulus",29.289,48.9364064,23503,-3.31062,25.97838,29.289,"success",NA,0,0
"WL12","WL12_FagSyl_2020-12-04.laz","data/raw/tls/site1_WL_group2/WL12_FagSyl_2020-12-04.laz",4.93,"WL12","WL12","Fagus sylvatica",25.599,43.5879105,1416839,-1.729,23.87,25.599,"success",NA,0,0
"WL13","WL13_FagSyl_2020-12-04.laz","data/raw/tls/site1_WL_group2/WL13_FagSyl_2020-12-04.laz",5.24,"WL13","WL13","Fagus sylvatica",26.237,41.7892507,1537636,-0.811,25.426,26.237,"success",NA,3.5527136788005e-15,3.5527136788005e-15
"WL14","WL14_FagSyl_2020-12-04.laz","data/raw/tls/site1_WL_group2/WL14_FagSyl_2020-12-04.laz",4.32,"WL14","WL14","Fagus sylvatica",25.59709,33.2556616,895570,-0.65874,24.93835,25.59709,"success",NA,3.5527136788005e-15,3.5527136788005e-15
"WL22","WL22_FraExc_2020-12-04.laz","data/raw/tls/site1_WL_group2/WL22_FraExc_2020-12-04.laz",2.63,"WL22","WL22","Fraxinus excelsior",33.25786,62.5681629,556979,-0.7547,32.50316,33.25786,"success",NA,0,0
"WL28","Wl28_FraExc_2020-12-04.laz","data/raw/tls/site1_WL_group2/Wl28_FraExc_2020-12-04.laz",1.97,"WL28","WL28","Fraxinus excelsior",32.52089,51.8342924,415900,-1.97801,30.54288,32.52089,"success",NA,0,0
"WL29","WL29_QueRob_2020-12-04.laz","data/raw/tls/site1_WL_group2/WL29_QueRob_2020-12-04.laz",5.79,"WL29","WL29","Quercus spp.",30.0057,72.6246721,1201613,-0.88705,29.11865,30.0057,"success",NA,0,0
"WL30","WL30_BetPen_2020-12-04.laz","data/raw/tls/site1_WL_group2/WL30_BetPen_2020-12-04.laz",3.17,"WL30","WL30","Betula pendula",27.36797,46.9620379,645446,-0.80214,26.56583,27.36797,"success",NA,3.5527136788005e-15,3.5527136788005e-15
